libiconv-1.8/include/iconv.h.msvc-static                  libiconv-1.8/include/iconv_h.static-msvc
libiconv-1.8/include/iconv.h.msvc-shared                  libiconv-1.8/include/iconv_h.shared-msvc
libiconv-1.8/tests/Georgian-PS.TXT                        libiconv-1.8/tests/Georgian/PS.TXT
libiconv-1.8/tests/ARMSCII-8.IRREVERSIBLE.TXT             libiconv-1.8/tests/ARMSCII-8.IRREVERSIBLE-TXT
libiconv-1.8/tests/CP932.IRREVERSIBLE.TXT                 libiconv-1.8/tests/CP932.IRREVERSIBLE-TXT
libiconv-1.8/tests/CP950.IRREVERSIBLE.TXT                 libiconv-1.8/tests/CP950.IRREVERSIBLE-TXT
libiconv-1.8/tests/EUC-TW.IRREVERSIBLE.TXT                libiconv-1.8/tests/EUC-TW.IRREVERSIBLE-TXT
libiconv-1.8/tests/ISO-2022-CN-EXT-snippet                libiconv-1.8/tests/ISO/2022CN-EXT-snippet
libiconv-1.8/tests/Georgian-Academy.TXT                   libiconv-1.8/tests/Georgian/Academy.TXT
libiconv-1.8/tests/ISO-2022-CN-EXT-snippet.UTF-8          libiconv-1.8/tests/ISO/2022CN-EXT-snippet.UTF-8
libiconv-1.8/tests/ISO-2022-CN-snippet                    libiconv-1.8/tests/ISO/2022CN-snippet
libiconv-1.8/tests/ISO-2022-CN-snippet.UTF-8              libiconv-1.8/tests/ISO/2022CN-snippet.UTF-8
libiconv-1.8/tests/ISO-2022-JP-1-snippet                  libiconv-1.8/tests/ISO/2022JP-1-snippet
libiconv-1.8/tests/ISO-2022-JP-1-snippet.UTF-8            libiconv-1.8/tests/ISO/2022JP-1-snippet.UTF-8
libiconv-1.8/tests/ISO-2022-JP-2-snippet                  libiconv-1.8/tests/ISO/2022JP-2-snippet
libiconv-1.8/tests/ISO-2022-JP-2-snippet.UTF-8            libiconv-1.8/tests/ISO/2022JP-2-snippet.UTF-8
libiconv-1.8/tests/ISO-2022-JP-snippet                    libiconv-1.8/tests/ISO/2022JP-snippet
libiconv-1.8/tests/ISO-2022-JP-snippet.UTF-8              libiconv-1.8/tests/ISO/2022JP-snippet.UTF-8
libiconv-1.8/tests/ISO-2022-KR-snippet                    libiconv-1.8/tests/ISO/2022KR-snippet
libiconv-1.8/tests/ISO-2022-KR-snippet.UTF-8              libiconv-1.8/tests/ISO/2022KR-snippet.UTF-8
libiconv-1.8/tests/ISO-8859-1.TXT                         libiconv-1.8/tests/ISO/8859-1.TXT
libiconv-1.8/tests/ISO-8859-10.TXT                        libiconv-1.8/tests/ISO/8859-10.TXT
libiconv-1.8/tests/ISO-8859-13.TXT                        libiconv-1.8/tests/ISO/8859-13.TXT
libiconv-1.8/tests/ISO-8859-14.TXT                        libiconv-1.8/tests/ISO/8859-14.TXT
libiconv-1.8/tests/ISO-8859-15.TXT                        libiconv-1.8/tests/ISO/8859-15.TXT
libiconv-1.8/tests/ISO-8859-16.TXT                        libiconv-1.8/tests/ISO/8859-16.TXT
libiconv-1.8/tests/ISO-8859-2.TXT                         libiconv-1.8/tests/ISO/8859-2.TXT
libiconv-1.8/tests/ISO-8859-3.TXT                         libiconv-1.8/tests/ISO/8859-3.TXT
libiconv-1.8/tests/ISO-8859-4.TXT                         libiconv-1.8/tests/ISO/8859-4.TXT
libiconv-1.8/tests/ISO-8859-5.TXT                         libiconv-1.8/tests/ISO/8859-5.TXT
libiconv-1.8/tests/ISO-8859-6.TXT                         libiconv-1.8/tests/ISO/8859-6.TXT
libiconv-1.8/tests/ISO-8859-7.TXT                         libiconv-1.8/tests/ISO/8859-7.TXT
libiconv-1.8/tests/ISO-8859-8.TXT                         libiconv-1.8/tests/ISO/8859-8.TXT
libiconv-1.8/tests/ISO-8859-9.TXT                         libiconv-1.8/tests/ISO/8859-9.TXT
libiconv-1.8/tests/ISO-IR-165.IRREVERSIBLE.TXT            libiconv-1.8/tests/ISO/IR-165.IRREVERSIBLE-TXT
libiconv-1.8/tests/ISO-IR-165.TXT                         libiconv-1.8/tests/ISO/IR-165.TXT
libiconv-1.8/tests/ISO646-CN.TXT                          libiconv-1.8/tests/ISO646-CN.TXT
libiconv-1.8/tests/ISO646-JP.TXT                          libiconv-1.8/tests/ISO646-JP.TXT
